Id,SalePrice
1461,108435.2647782173
1462,120852.11006687465
1463,179845.11260339
1464,187757.70064962446
1465,208702.50927582697
1466,171471.48961466062
1467,172284.5799193296
1468,158114.05100037064
1469,204701.30666617118
1470,122573.05206122017
1471,151772.3583773811
1472,99617.89023405674
1473,91634.41528126644
1474,140679.77985595865
1475,102012.11068399425
1476,369870.99972002127
1477,261860.08602714073
1478,330666.1708131612
1479,325061.66428534826
1480,457164.2764426754
1481,313736.7919473357
1482,217114.18731689476
1483,170568.0699270676
1484,165409.13500044693
1485,195972.47439331573
1486,188491.6975436682
1487,335266.18740185816
1488,218288.18446771265
1489,199466.15343348286
1490,249783.76768797892
1491,198415.68483867066
1492,105517.15208517015
1493,212214.85253441834
1494,330049.6554907516
1495,286432.21246205154
1496,245678.33106357558
1497,168432.30283585016
1498,177014.37554588483
1499,159394.97546465695
1500,151963.9991053734
1501,193059.4173482263
1502,135801.1497182186
1503,323992.4353809956
1504,239699.03117190883
1505,221821.13154803938
1506,187259.90143040183
1507,240257.0577607397
1508,192508.83826123667
1509,152646.40988255653
1510,144953.63727701886
1511,157141.99192807032
1512,163426.89071414608
1513,161481.14866429928
1514,155985.26196696877
1515,203463.04213876894
1516,161366.8284777128
1517,171538.23355194612
1518,121880.13009835465
1519,206807.6664356253
1520,116427.2202637404
1521,127152.86789799866
1522,188707.7482560412
1523,109070.43917632836
1524,118166.63728540437
1525,115047.74061545532
1526,109201.82688568032
1527,109608.40438162582
1528,122790.66430626414
1529,156318.67956332583
1530,205370.48332873476
1531,146889.751253861
1532,97637.75031301193
1533,150526.9095162698
1534,117068.74600794772
1535,135465.1187865344
1536,90211.31789161218
1537,49158.928119713906
1538,160382.1308129062
1539,212609.5717977453
1540,123799.7474783617
1541,135005.77395728417
1542,160678.0927435354
1543,171345.8186179673
1544,86413.81708566577
1545,125936.73908739735
1546,148886.52145735442
1547,139260.07546633447
1548,152655.801452399
1549,131546.25545256725
1550,154200.5064616506
1551,102128.2981121788
1552,163020.80090351484
1553,146069.659078805
1554,119257.96542770253
1555,146698.02843185095
1556,75361.18352749711
1557,112070.34970922826
1558,106481.43626738328
1559,65937.83549940493
1560,134830.9690259524
1561,61513.61396620935
1562,127670.19933346473
1563,129963.42473854893
1564,151774.0737569679
1565,149830.11181510065
1566,230258.28498703637
1567,73869.54174960544
1568,229248.2386058953
1569,116833.61863632349
1570,135289.12989121897
1571,79153.7037201128
1572,130342.03076572076
1573,237783.5125339243
1574,139293.10393652087
1575,238824.08443159156
1576,223939.8059642387
1577,187606.23947866925
1578,161863.21758298832
1579,132080.28529863304
1580,196033.82689316897
1581,160049.59172363346
1582,143501.5915354587
1583,266243.6471872383
1584,218654.0336863324
1585,135208.51982815878
1586,67971.75334380008
1587,118503.8180870649
1588,162403.96516011702
1589,101871.3370994298
1590,121860.59247014904
1591,82920.82961380586
1592,126798.56581682013
1593,143490.43844098563
1594,162968.64039801282
1595,116679.85346983455
1596,223461.23536744714
1597,215376.23055782798
1598,218955.4357883674
1599,185960.7346540352
1600,170907.84174343664
1601,47139.10813842469
1602,118990.0060843702
1603,73865.9048011573
1604,273438.2216028534
1605,225555.82334272773
1606,142696.10964196245
1607,154432.8210107442
1608,212154.59282293497
1609,186263.0329236572
1610,151811.47019539936
1611,138188.1566864741
1612,178115.09545081772
1613,155922.5195366589
1614,146421.40180159616
1615,93896.27330844034
1616,68986.06709199934
1617,83537.57813150075
1618,134431.90523161192
1619,151943.90085190046
1620,171575.45483574353
1621,123463.21746449405
1622,148098.7120526802
1623,249341.24669589824
1624,188702.57320800296
1625,115023.50765765028
1626,170754.0973332012
1627,185495.48484504665
1628,276699.0476959272
1629,188508.35482891742
1630,349641.6845043441
1631,262857.4750163801
1632,249427.9618915195
1633,193043.53550826048
1634,186611.02293689502
1635,174864.9551697136
1636,148091.5787405097
1637,190614.13816496148
1638,165553.91535095288
1639,181093.248431704
1640,235107.3071515303
1641,181173.44801193057
1642,266385.80481028603
1643,208181.60698174685
1644,234191.49058721238
1645,204496.31679069495
1646,162520.1318025228
1647,163771.61758358916
1648,125819.44900576374
1649,131503.05418303085
1650,112148.54620028543
1651,116550.45968339592
1652,100137.00725117442
1653,100423.77838913398
1654,145703.30976961658
1655,128417.07355462445
1656,141568.16412932286
1657,158455.6415904971
1658,149821.00862020883
1659,125795.52718255797
1660,152286.0257690315
1661,426559.8200350846
1662,386787.7734019876
1663,380201.12929027784
1664,529234.9348706366
1665,334738.4081493637
1666,313659.994357449
1667,357989.20386349433
1668,368032.3112244387
1669,332739.40560703026
1670,363568.35314606153
1671,264968.72945380514
1672,395573.618862725
1673,298468.31524099305
1674,250656.44973918493
1675,204864.19764936273
1676,208318.35626097093
1677,215074.8487575068
1678,458785.03655916546
1679,383042.03799341666
1680,335998.7206143987
1681,285295.7252084736
1682,324457.59205193655
1683,196554.05911460216
1684,170990.69747237442
1685,173656.87628350477
1686,166820.73206844856
1687,167528.39529701544
1688,179573.77222523803
1689,188369.88406268426
1690,192942.38616792904
1691,185866.6184260908
1692,262705.353520363
1693,183438.53050523018
1694,187444.9087931635
1695,180632.0068089849
1696,248287.43799241644
1697,188166.09215600544
1698,332726.211179949
1699,339758.7620585745
1700,276981.64611740946
1701,285449.46493277303
1702,231462.64919642278
1703,230530.77983776946
1704,262206.0283552194
1705,257122.02001165343
1706,214789.68182358542
1707,228744.68926515733
1708,202785.55161027622
1709,243828.53790784837
1710,225803.9255732121
1711,278364.2917106461
1712,251007.63840908546
1713,275590.58733477164
1714,210264.48466693738
1715,213421.92153526458
1716,178697.10906580393
1717,181119.65675315144
1718,146514.453667772
1719,224127.81828466663
1720,168033.18686686747
